Year,ID,Location,Station,Month,Inches of Precipitation
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,OCT,6.43
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,NOV,14.53
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,DEC,17.32
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,JAN,17.32
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,FEB,9.1
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,MAR,6.05
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,APR,6.62
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,MAY,3.65
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,JUN,3.68
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,JUL,0.02
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,AUG,0.03
2002,4BK,BROOKINGS,SOUTHERN OREGON COASTAL,SEP,1.45
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,OCT,0.38
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,NOV,3.5
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,DEC,3.41
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,JAN,1.32
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,FEB,1.29
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,MAR,1.29
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,APR,2.92
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,MAY,1.88
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,JUN,0.08
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,JUL,0.28
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,AUG,0
2002,ASHO3,ASHLAND,SOUTHERN OREGON COASTAL,SEP,0.2
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,OCT,0.29
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,NOV,6.68
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,DEC,6.98
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,JAN,3.42
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,FEB,1.99
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,MAR,1.8
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,APR,
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,MAY,
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,JUN,
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,JUL,
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,AUG,
2002,COPO3,COPPER 4NE,SOUTHERN OREGON COASTAL,SEP,0.27
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,OCT,2.46
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,NOV,13.6
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,DEC,14.81
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,JAN,9.76
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,FEB,6.46
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,MAR,4.63
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,APR,1.94
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,MAY,0.89
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,JUN,0
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,JUL,0
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,AUG,0
2002,CVJO3,CAVE JUNCTION,SOUTHERN OREGON COASTAL,SEP,0.33
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,OCT,4.63
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,NOV,11.72
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,DEC,16.59
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,JAN,14.58
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,FEB,8.89
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,MAR,6.62
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,APR,4.73
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,MAY,1.5
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,JUN,2.09
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,JUL,0.02
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,AUG,0
2002,GOLO3,GOLD BEACH,SOUTHERN OREGON COASTAL,SEP,0.62
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,OCT,0.39
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,NOV,6.37
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,DEC,6.94
2002,GPSO3,GRANTS PASS KAJO,SOUTHERN OREGON COASTAL,JAN,4.31
